1  2962  8595  16170 14627 16618 19159 16682 18666 14184.88 3150  11107 21109 19748 22801 25659 23301 26711 19198.25
2  3371  10129 18552 16514 18682 20775 19827 20403 16031.63 6098  19622 38717 35506 40136 45479 41137 51210 34738.13
3  3535  10370 19297 17476 20062 22199 20507 21920 16920.75 7652  26649 51662 52269 54538 63239 56380 61453 46730.25
4  3811  10876 19892 18305 20600 22737 21073 22317 17451.38 9566  30730 59173 57424 63015 71911 64067 69289 53146.88
5  3916  11041 20399 18799 21154 23607 21293 23254 17932.88 10337 33403 62869 61317 66165 75590 68735 78486 57112.75
6  3808  11245 20770 19416 21686 23880 21600 23277 18210.25 12975 38098 72146 70371 75681 85711 79011 86959 65119.0
7  3952  11585 21084 19798 22155 24225 21930 24013 18592.75 13298 40264 78525 73727 81287 92469 85587 91771 69616.0
8  3885  11664 22045 20007 22730 24477 22190 24033 18878.88 14417 41720 80694 72888 83974 93121 83329 92571 70339.25
9  4014  11590 21635 19869 22386 24615 22746 24175 18878.75 14100 43624 84192 75502 86633 97343 88110 97574 73384.75

