-4.701	          0.000 
-4.652	          0.000
-4.606	          0.000
-4.557	          0.000
-4.509	          0.000
-4.460	          0.000
-4.412	          0.000
-4.363	          0.000
-4.315	          0.000
-4.266	          0.000
-4.219	          0.000
-4.170	          0.000
-4.122	          0.000
-4.073	          0.000
-4.025	          0.000
-3.976	          0.000
-3.928	          0.000
-3.879	          0.000
-3.827	          0.000
-3.778	          0.000
-3.729	          0.000
-3.681	          0.000
-3.634	          0.000
-3.585	          0.000
-3.537	          0.000
-3.488	          0.000
-3.440	          0.000
-3.391	          0.000
-3.343	          0.000
-3.294	          0.000
-3.248	          0.000
-3.199	          0.000
-3.150	          0.000
-3.102	          0.000
-3.053	          0.000
-3.005	          0.000
-2.956	          0.000
-2.907	          0.000
-2.858	          0.000
-2.810	          0.000
-2.762	          0.000
-2.713	          0.000
-2.666	          0.000
-2.617	          0.000
-2.569	          0.000
-2.520	          0.000
-2.472	          0.000
-2.423	          0.000
-2.375	          0.000
-2.326	          0.000
-2.280	          0.000
-2.231	          0.000
-2.183	          0.000
-2.134	          0.000
-2.086	          0.000
-2.037	          0.000
-1.989	          0.000
-1.940	          0.000
-1.891	          0.000
-1.842	          0.000
-1.794	          0.000
-1.745	          0.000
-1.699	          0.000
-1.650	          0.000
-1.602	          0.000
-1.553	          0.000
-1.505	          0.000
-1.456	          0.000
-1.408	          0.000
-1.359	          0.000
-1.312	          0.000
-1.264	          0.000
-1.215	          0.000
-1.166	          0.000
-1.119	          0.000
-1.070	          0.000
-1.022	          0.000
-0.973	          0.000
-0.924	          0.000
-0.875	          0.000
-0.827	          0.000
-0.778	          0.000
-0.731	          0.000
-0.682	          0.000
-0.634	          0.000
-0.585	          0.000
-0.537	          0.000
-0.488	          0.000
-0.440	          0.000
-0.391	          0.000
-0.345	          0.000
-0.296	          0.000
-0.248	          0.000
-0.199	          0.000
-0.151	          0.000
-0.102	          0.000
-0.054	          0.000
-0.004	          0.000
0.045	          0.000
0.093	          0.000
0.142	          0.000
0.190	          0.000
0.239	          0.000
0.287	          0.000
0.336	          0.000
0.383	          0.000
0.432	          0.000
0.480	          0.000
0.529	          0.000
0.577	          0.000
0.626	          0.000
0.675	          0.000
0.723	          0.000
0.770	          0.000
0.819	          0.000
0.868	          0.000
0.916	          0.000
0.966	          0.000
1.015	          0.000
1.063	          0.000
1.112	          0.000
1.160	          0.000
1.208	          0.000
1.256	          0.000
1.305	          0.000
1.352	          0.000
1.401	          0.000
1.449	          0.000
1.498	          0.000
1.545	          0.001
1.593	          0.002
1.638	          0.005
1.678	          0.014
1.707	          0.032
1.729	          0.059
1.745	          0.092
1.756	          0.130
1.766	          0.170
1.773	          0.211
1.780	          0.254
1.785	          0.297
1.790	          0.341
1.795	          0.386
1.799	          0.431
1.802	          0.476
1.806	          0.520
1.809	          0.566
1.812	          0.612
1.814	          0.659
1.817	          0.705
1.819	          0.752
1.822	          0.798
1.824	          0.845
1.826	          0.890
1.828	          0.938
1.830	          0.984
1.832	          1.032
1.834	          1.079
1.836	          1.127
1.838	          1.174
1.839	          1.221
1.841	          1.268
1.842	          1.315
1.844	          1.363
1.845	          1.410
1.847	          1.457
1.848	          1.504
1.850	          1.552
1.851	          1.599
1.852	          1.646
1.854	          1.695
1.855	          1.742
1.856	          1.790
1.857	          1.836
1.858	          1.884
1.860	          1.932
1.861	          1.980
1.862	          2.033
1.864	          2.129
1.865	          2.177
1.867	          2.273
1.869	          2.320
1.870	          2.369
1.871	          2.415
1.872	          2.463
1.873	          2.511
1.874	          2.559
1.875	          2.607
1.876	          2.655
1.877	          2.703
1.878	          2.752
1.878	          2.798
1.879	          2.846
1.880	          2.894
1.881	          2.942
1.882	          2.991
